"","Year","Month","Temperature"
"1","2004","01",279.538888888889
"2","2004","02",279.927777777778
"3","2004","03",286.983333333333
"4","2004","04",287.205555555556
"5","2004","05",290.483333333333
"6","2004","06",294.483333333333
"7","2004","07",297.65
"8","2004","08",296.927777777778
"9","2004","09",293.927777777778
"10","2004","10",287.705555555556
"11","2004","11",281.872222222222
"12","2004","12",280.15
"13","2005","01",279.872222222222
"14","2005","02",281.538888888889
"15","2005","03",283.761111111111
"16","2005","04",284.816666666667
"17","2005","05",289.927777777778
"18","2005","06",292.15
"19","2005","07",298.927777777778
"20","2005","08",297.483333333333
"21","2005","09",292.538888888889
"22","2005","10",288.65
"23","2005","11",284.483333333333
"24","2005","12",280.983333333333
"25","2006","01",280.15
"26","2006","02",281.872222222222
"27","2006","03",279.816666666667
"28","2006","04",284.816666666667
"29","2006","05",291.261111111111
"30","2006","06",296.038888888889
"31","2006","07",299.427777777778
"32","2006","08",296.372222222222
"33","2006","09",293.983333333333
"34","2006","10",288.038888888889
"35","2006","11",283.872222222222
"36","2006","12",279.761111111111
"37","2007","01",278.427777777778
"38","2007","02",281.316666666667
"39","2007","03",285.594444444444
"40","2007","04",286.65
"41","2007","05",290.983333333333
"42","2007","06",294.538888888889
"43","2007","07",298.094444444444
"44","2007","08",297.65
"45","2007","09",292.872222222222
"46","2007","10",287.927777777778
"47","2007","11",284.983333333333
"48","2007","12",278.261111111111
"49","2008","01",278.205555555556
"50","2008","02",280.816666666667
"51","2008","03",283.316666666667
"52","2008","04",285.594444444444
"53","2008","05",289.65
"54","2008","06",294.872222222222
"55","2008","07",297.872222222222
"56","2008","08",297.927777777778
"57","2008","09",295.261111111111
"58","2008","10",289.705555555556
"59","2008","11",285.316666666667
"60","2008","12",278.705555555556
"61","2009","01",281.427777777778
"62","2009","02",280.483333333333
"63","2009","03",282.705555555556
"64","2009","04",285.538888888889
"65","2009","05",292.427777777778
"66","2009","06",292.872222222222
"67","2009","07",298.483333333333
"68","2009","08",296.927777777778
"69","2009","09",295.927777777778
"70","2009","10",287.65
"71","2009","11",283.65
"72","2009","12",278.594444444444
"73","2010","01",280.483333333333
"74","2010","02",281.372222222222
"75","2010","03",282.594444444444
"76","2010","04",283.65
"77","2010","05",286.983333333333
"78","2010","06",293.761111111111
"79","2010","07",297.65
"80","2010","08",296.15
"81","2010","09",294.483333333333
"82","2010","10",288.983333333333
"83","2010","11",282.372222222222
"84","2010","12",280.816666666667
"85","2011","01",280.483333333333
"86","2011","02",279.483333333333
"87","2011","03",282.427777777778
"88","2011","04",285.038888888889
"89","2011","05",287.372222222222
"90","2011","06",292.538888888889
"91","2011","07",296.594444444444
"92","2011","08",297.15
"93","2011","09",295.483333333333
"94","2011","10",289.483333333333
"95","2011","11",282.15
"96","2011","12",279.15
"97","2012","01",281.205555555556
"98","2012","02",281.205555555556
"99","2012","03",282.483333333333
"100","2012","04",286.372222222222
"101","2012","05",290.872222222222
"102","2012","06",293.872222222222
"103","2012","07",296.872222222222
"104","2012","08",298.594444444444
"105","2012","09",295.983333333333
"106","2012","10",289.927777777778
"107","2012","11",284.538888888889
"108","2012","12",279.261111111111
"109","2013","01",278.761111111111
"110","2013","02",280.538888888889
"111","2013","03",285.261111111111
"112","2013","04",287.705555555556
"113","2013","05",290.816666666667
"114","2013","06",295.594444444444
"115","2013","07",298.705555555556
"116","2013","08",296.705555555556
"117","2013","09",293.872222222222
"118","2013","10",287.872222222222
"119","2013","11",284.205555555556
"120","2013","12",279.872222222222
"121","2014","01",283.205555555556
"122","2014","02",283.038888888889
"123","2014","03",285.094444444444
"124","2014","04",287.427777777778
"125","2014","05",291.261111111111
"126","2014","06",295.316666666667
"127","2014","07",298.927777777778
"128","2014","08",296.983333333333
"129","2014","09",295.483333333333
"130","2014","10",291.15
"131","2014","11",284.872222222222
"132","2014","12",281.372222222222
"133","2015","01",282.372222222222
"134","2015","02",284.927777777778
"135","2015","03",286.983333333333
"136","2015","04",286.872222222222
"137","2015","05",289.15
"138","2015","06",296.705555555556
"139","2015","07",297.038888888889
"140","2015","08",297.872222222222
"141","2015","09",295.427777777778
"142","2015","10",291.483333333333
"143","2015","11",281.816666666667
"144","2015","12",278.872222222222
"145","2016","01",280.094444444444
"146","2016","02",284.15
"147","2016","03",284.538888888889
"148","2016","04",287.538888888889
"149","2016","05",289.927777777778
"150","2016","06",296.205555555556
"151","2016","07",298.038888888889
"152","2016","08",297.705555555556
"153","2016","09",293.983333333333
"154","2016","10",288.983333333333
"155","2016","11",284.705555555556
"156","2016","12",279.483333333333
"157","2017","01",278.816666666667
"158","2017","02",281.65
"159","2017","03",285.038888888889
"160","2017","04",286.261111111111
"161","2017","05",290.594444444444
"162","2017","06",295.816666666667
"163","2017","07",299.15
"164","2017","08",298.65
"165","2017","09",294.15
"166","2017","10",289.816666666667
"167","2017","11",285.038888888889
"168","2017","12",281.761111111111
"169","2018","01",282.483333333333
"170","2018","02",281.261111111111
"171","2018","03",282.594444444444
"172","2018","04",287.15
"173","2018","05",290.372222222222
"174","2018","06",295.094444444444
"175","2018","07",299.594444444444
"176","2018","08",297.816666666667
"177","2018","09",294.927777777778
"178","2018","10",289.261111111111
"179","2018","11",284.65
"180","2018","12",280.261111111111
"181","2019","01",280.927777777778
